objectid,parentid,title,creator,date,estimatedate,description,caption,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
roma_01,,Cover,Romualdo Moscioni,,Post 1889,,,,,,,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,compound_object,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_01.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_01_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_01_th.jpg,,
roma_02,roma_01,Inner Cover,Romualdo Moscioni,,Post 1889,,,,,,,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_02.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_02_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_02_th.jpg,,
roma_03,roma_01,Page 1 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,"901. S. Pietro Basilica, Palazzo Vaticano Roma","St. Peter's Basilica; Building, Exterior",Vatican City,41.90226649,12.45834625,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_03.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_03_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_03_th.jpg,,
roma_04,roma_01,Page 2 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,906. Interno della Basilica Vaticano Roma,"Building, Interior",Vatican City,41.9023144,12.4540118,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_04.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_04_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_04_th.jpg,,
roma_05,roma_01,Page 3 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,909. Facciata di S. Paolo estramuras - Roma,"St. Paul's Outside the Walls; Building, Exterior",Vatican City,41.85954075,12.47764709,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_05.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_05_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_05_th.jpg,,
roma_06,roma_01,Page 4 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,Unreadable [Archbasilica of Saint John Lateran],"Archbasilica of Saint John Lateran; Building, Exterior","Rome, Italy",41.88602884,12.50560862,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_06.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_06_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_06_th.jpg,,
roma_07,roma_01,Page 5 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,Facciata di S. Maria Maggiore Roma,,"Rome, Italy",41.89809372,12.49836548,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_07.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_07_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_07_th.jpg,,
roma_8,roma_01,Page 6 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,926 Mausleo di Adriano (Castel S. Angelo) Roma,"Mausoleum of Adrian; Building, Exterior","Rome, Italy",41.90126629,12.46625196,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_8.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_8_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_8_th.jpg,,
roma_09,roma_01,Page 7 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,Unreadable [Trevi Fountain],Trevi Fountain,"Rome, Italy",41.90139287,12.48341864,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_09.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_09_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_09_th.jpg,,
roma_10,roma_01,Page 8 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,"Palazzo Del Quirinal, Roma","Scenery, City","Rome, Italy",41.89989344,12.48691809,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_10.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_10_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_10_th.jpg,,
roma_11,roma_01,Page 9 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,986. Piazza Navone Roma,"Scenery, City","Rome, Italy",41.89985007,12.47328878,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_11.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_11_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_11_th.jpg,,
roma_12,roma_01,Page 10 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,925 Pantheon D'Agrippa Roma,"Pantheon; Building, Exterior","Rome, Italy",41.89879029,12.47690911,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_12.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_12_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_12_th.jpg,,
roma_13,roma_01,Page 11 of Roma Photo Album,Romualdo Moscioni,,Post 1889,,949 Foro Traiano - Roma,Trajan Forum,"Rome, Italy",41.89504144,12.4852154,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/roma_13.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/small/roma_13_sm.jpg,https://tdjacklin.ca/wp-content/uploads/CollectionBuilder/thumbs/roma_13_th.jpg,,
