objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
roma_00,,,Romualdo Moscioni,,,,,,,,,,,,,,compound_object,,/objects/small/roma_01_small.jpg,/objects/thumbs/roma_01_th.jpg,,
roma_01,roma_00,Cover,Romualdo Moscioni,,,,,,,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,image,/objects/roma_00.jpg,/objects/small/roma_01_small.jpg,/objects/thumbs/roma_01_th.jpg,,
roma_02,roma_00,Inner Cover,Romualdo Moscioni,,,,,,,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,image,/objects/roma_01.jpg,/objects/small/roma_02_small.jpg,/objects/thumbs/roma_02_th.jpg,,
roma_03,roma_00,Page 1 of Roma Photo Album,Romualdo Moscioni,,"901. S. Pietro Basilica, Palazzo Vaticano Roma",,Vatican City,41.90226649,12.45834625,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_02.jpg,/objects/small/roma_03_small.jpg,/objects/thumbs/roma_03_th.jpg,,
roma_04,roma_00,Page 2 of Roma Photo Album,Romualdo Moscioni,,906. Interno della Basilica Vaticano Roma,,Vatican City,41.9023144,12.4540118,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_03.jpg,/objects/small/roma_04_small.jpg,/objects/thumbs/roma_04_th.jpg,,
roma_05,roma_00,Page 3 of Roma Photo Album,Romualdo Moscioni,,909. Facciata di S. Paolo estramuras - Roma,,Vatican City,41.85954075,12.47764709,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_04.jpg,/objects/small/roma_05_small.jpg,/objects/thumbs/roma_05_th.jpg,,
roma_06,roma_00,Page 4 of Roma Photo Album,Romualdo Moscioni,,Unreadable [Archbasilica of Saint John Lateran],,"Rome, Italy",41.88602884,12.50560862,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,image,/objects/roma_05.jpg,/objects/small/roma_06_small.jpg,/objects/thumbs/roma_06_th.jpg,,
roma_07,roma_00,Page 5 of Roma Photo Album,Romualdo Moscioni,,Facciata di S. Maria Maggiore Roma,,"Rome, Italy",41.89809372,12.49836548,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_06.jpg,/objects/small/roma_07_small.jpg,/objects/thumbs/roma_07_th.jpg,,
roma_08,roma_00,Page 6 of Roma Photo Album,Romualdo Moscioni,,926 Mausleo di Adriano (Castel S. Angelo) Roma,,"Rome, Italy",41.90126629,12.46625196,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_07.jpg,/objects/small/roma_08_small.jpg,/objects/thumbs/roma_08_th.jpg,,
roma_09,roma_00,Page 7 of Roma Photo Album,Romualdo Moscioni,,Unreadable [Trevi Fountain],,"Rome, Italy",41.90139287,12.48341864,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,image,/objects/roma_08.jpg,/objects/small/roma_09_small.jpg,/objects/thumbs/roma_09_th.jpg,,
roma_10,roma_00,Page 8 of Roma Photo Album,Romualdo Moscioni,,"Palazzo Del Quirinal, Roma",,"Rome, Italy",41.89989344,12.48691809,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_09.jpg,/objects/small/roma_10_small.jpg,/objects/thumbs/roma_10_th.jpg,,
roma_11,roma_00,Page 9 of Roma Photo Album,Romualdo Moscioni,,986. Piazza Navone Roma,,"Rome, Italy",41.89985007,12.47328878,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_10.jpg,/objects/small/roma_11_small.jpg,/objects/thumbs/roma_11_th.jpg,,
roma_12,roma_00,Page 10 of Roma Photo Album,Romualdo Moscioni,,925 Pantheon D'Agrippa Roma,,"Rome, Italy",41.89879029,12.47690911,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_11.jpg,/objects/small/roma_12_small.jpg,/objects/thumbs/roma_12_th.jpg,,
roma_13,roma_00,Page 11 of Roma Photo Album,Romualdo Moscioni,,949 Foro Traiano - Roma,,"Rome, Italy",41.89504144,12.4852154,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_12.jpg,/objects/small/roma_13_small.jpg,/objects/thumbs/roma_13_th.jpg,,
roma_14,roma_00,Page 12 of Roma Photo Album,Romualdo Moscioni,,Unreadable [Capitoline Hill cordonata],,"Rome, Italy",41.89361543,12.48253052,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng,,,image,/objects/roma_13.jpg,/objects/small/roma_14_small.jpg,/objects/thumbs/roma_14_th.jpg,,
roma_15,roma_00,Page 13 of Roma Photo Album,Romualdo Moscioni,,Forum Romano - Roma,,"Rome, Italy",41.89227187,12.48636457,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_14.jpg,/objects/small/roma_15_small.jpg,/objects/thumbs/roma_15_th.jpg,,
roma_16,roma_00,Page 14 of Roma Photo Album,Romualdo Moscioni,,Arco Di Costantino - Roma,,"Rome, Italy",41.89001087,12.49069963,"Point Ellice House Museum and Archives, Victoria, BC",,Image;StillImage,image/jpg,eng; ita,,,image,/objects/roma_15.jpg,/objects/small/roma_16_small.jpg,/objects/thumbs/roma_16_th.jpg,,
